lang,label,sentence
en,ocp:play,start some {artist_name} for me
en,ocp:play,how about some {artist_name}
en,ocp:play,queue music by {artist_name}
en,ocp:play,play {artist_name}'s top hits
en,ocp:play,let's listen to {artist_name}
en,ocp:play,i’m in the mood for {artist_name}'s music
en,ocp:play,put on {artist_name}'s latest tracks
en,ocp:play,i'd like to hear some {artist_name} tracks
en,ocp:play,start with {artist_name}
en,ocp:play,get me {artist_name} music
en,ocp:play,play a mix of {artist_name} songs
en,ocp:play,can you play {artist_name}'s latest album
en,ocp:play,i'd love to hear a song by {artist_name}
en,ocp:play,let's get {artist_name} started
en,ocp:play,put on some {artist_name}
en,ocp:play,play songs by {artist_name}
en,ocp:play,start {artist_name} from {country} right now
en,ocp:play,how about some {artist_name} based in {country}
en,ocp:play,bring up {artist_name}'s hits from {country}
en,ocp:play,play {artist_name}'s tracks from {country}
en,ocp:play,load up {artist_name} from {country}
en,ocp:play,queue some {artist_name} tracks from {country}
en,ocp:play,i want some {artist_name} music from {country}
en,ocp:play,make a playlist for {artist_name} from {country}
en,ocp:play,can you find {artist_name} from {country} for me?
en,ocp:play,play the music of {artist_name} from {country}
en,ocp:play,i'd love to hear {artist_name} from {country}
en,ocp:play,start playing {artist_name} from {country}
en,ocp:play,play {artist_name} from {country}
en,ocp:play,put on music by {artist_name} from {country}
en,ocp:play,i want to hear {artist_name} from {country}
en,ocp:play,play songs by {artist_name} who is from {country}
en,ocp:play,play tunes from {artist_name} who hails from {country}
en,ocp:play,give me {artist_name}'s music from {country}
en,ocp:play,let’s vibe to {artist_name} out of {country}
en,ocp:play,spin some tracks by {artist_name} from {country}
en,ocp:play,let's listen to {artist_name} from {country}
en,ocp:play,queue up {artist_name} from {country}
en,ocp:play,play {artist_name}'s songs from {country}
en,ocp:play,get me music by {artist_name} they're from {country}
en,ocp:play,play {artist_name} a band from {country}
en,ocp:play,fire up music by {artist_name} from {country}
en,ocp:play,show me {artist_name} from {country}
en,ocp:play,can you play {artist_name} from {country}?
en,ocp:play,play {artist_name} from {location}
en,ocp:play,put on music by {artist_name} from {location}
en,ocp:play,i want to hear {artist_name} from {location}
en,ocp:play,i want some {artist_name} music from {location}
en,ocp:play,play {artist_name} a band from {location}
en,ocp:play,let's listen to {artist_name} from {location}
en,ocp:play,play songs by {artist_name} who is from {location}
en,ocp:play,queue up {artist_name} from {location}
en,ocp:play,play the music of {artist_name} from {location}
en,ocp:play,start {artist_name} from {location} right now
en,ocp:play,play {artist_name}'s songs from {location}
en,ocp:play,play {artist_name}'s tracks from {location}
en,ocp:play,give me {artist_name}'s music from {location}
en,ocp:play,can you find {artist_name} from {location} for me?
en,ocp:play,can you play {artist_name} from {location}?
en,ocp:play,show me {artist_name} from {location}
en,ocp:play,start playing {artist_name} from {location}
en,ocp:play,give me {artist_name}'s songs from {location} in {country}
en,ocp:play,start playing {artist_name} from {location} in {country}
en,ocp:play,let's vibe to {artist_name} from {location} {country}
en,ocp:play,bring up {artist_name}'s hits out of {location} in {country}
en,ocp:play,play {artist_name} from {location} in {country}
en,ocp:play,queue up {artist_name} from {location} in {country}
en,ocp:play,play songs by {artist_name} who is from {location} in {country}
en,ocp:play,spin some tracks by {artist_name} from {location} {country}
en,ocp:play,let's listen to {artist_name} from {location} in {country}
en,ocp:play,get me music by {artist_name} they’re from {location} in {country}
en,ocp:play,can you find {artist_name} from {location} in {country} for me?
en,ocp:play,play {artist_name}'s songs from {location} in {country}
en,ocp:play,show me {artist_name} from {location} in {country}
en,ocp:play,play {artist_name} a band from {location} in {country}
en,ocp:play,can you play {artist_name} from {location} in {country}?
en,ocp:play,start {artist_name} from {location} in {country} right now
en,ocp:play,play {artist_name}'s tracks from {location} in {country}
en,ocp:play,i want to hear {artist_name} from {location} in {country}
en,ocp:play,i want some {artist_name} music from {location} in {country}
en,ocp:play,put on music by {artist_name} from {location} in {country}
en,ocp:play,play something by {artist_name} from {location} in {country}
en,ocp:play,fire up tracks from {artist_name} in {location} {country}
en,ocp:play,how about some {artist_name} coming out of {location} in {country}
en,ocp:play,play the music of {artist_name} from {location} in {country}
en,ocp:play,queue up {artist_name} who’s based in {location} in {country}
en,ocp:play,i'd love to hear {artist_name} out of {location} in {country}
en,ocp:play,give me {artist_name}'s music from {location} in {country}
en,ocp:play,put on some {music_genre} music
en,ocp:play,give me {music_genre} tracks
en,ocp:play,play {music_genre} all day
en,ocp:play,can you play {music_genre} tracks
en,ocp:play,i want to listen to {music_genre}
en,ocp:play,start with some {music_genre}
en,ocp:play,get me in the mood with {music_genre} music
en,ocp:play,get me in the mood with {music_genre} songs
en,ocp:play,put on some {music_genre}
en,ocp:play,let's listen to {music_genre} tunes
en,ocp:play,start playing {music_genre} now
en,ocp:play,i'd love to hear {music_genre} right now
en,ocp:play,can i hear {music_genre} songs
en,ocp:play,i'd love some {music_genre}
en,ocp:play,let's hear some {music_genre} music
en,ocp:play,blast some {music_genre} right now
en,ocp:play,play {music_genre}
en,ocp:play,i'd love some {music_genre} songs
en,ocp:play,can i hear {music_genre} music
en,ocp:play,queue up {music_genre} for me
en,ocp:play,shuffle some {music_genre} tracks
en,ocp:play,put {music_genre} on the speakers
en,ocp:play,give me {music_genre} music
en,ocp:play,i'd like to hear some {music_genre}
en,ocp:play,play some classic {music_genre}
en,ocp:play,let’s spin a few {music_genre} songs
en,ocp:play,queue up some {music_genre} music
en,ocp:play,let's hear some {music_genre}
en,ocp:play,get me in the mood with {music_genre}
en,ocp:play,play some {music_genre} music
en,ocp:play,how about some {music_genre} music
en,ocp:play,make a playlist for {music_genre}
en,ocp:play,i feel like hearing some {music_genre}
en,ocp:play,play {music_genre} music
en,ocp:play,i'd love some {music_genre} music
en,ocp:play,queue {music_genre} songs for me
en,ocp:play,play {music_genre} songs
en,ocp:play,set the mood with some {music_genre}
en,ocp:play,let’s vibe to some {music_genre}
en,ocp:play,can i hear {music_genre} right now
en,ocp:play,turn on some {music_genre} jams
en,ocp:play,play me something {music_genre} songs
en,ocp:play,queue up some {music_genre}
en,ocp:play,bring on the {music_genre}
en,ocp:play,play me something {music_genre} music
en,ocp:play,queue up some {music_genre} songs
en,ocp:play,can you play {music_genre}
en,ocp:play,let's hear some {music_genre} songs
en,ocp:play,i want to listen to {music_genre} songs
en,ocp:play,i want to listen to {music_genre} music
en,ocp:play,can you queue some {music_genre} up
en,ocp:play,drop some {music_genre} beats
en,ocp:play,could you play some {music_genre} for me
en,ocp:play,play me something {music_genre}
en,ocp:play,i'm in the mood for {music_genre}
en,ocp:play,put on some {music_genre} songs
en,ocp:play,play a {music_genre} playlist
en,ocp:play,put on some {music_genre} hits
en,ocp:play,how about jamming to some {music_genre}
en,ocp:play,fire up some {music_genre}
en,ocp:play,spin some {music_genre}
en,ocp:play,i'd like to listen to the album {album_name} from the {music_genre} genre
en,ocp:play,can you play the album {album_name} in the {music_genre} genre?
en,ocp:play,play the album {album_name} from the {music_genre} genre
en,ocp:play,play {album_name} from the {music_genre} genre
en,ocp:play,put on the album {album_name} from the {music_genre} genre
en,ocp:play,put on the album {album_name} from {country} in the {music_genre} genre
en,ocp:play,i'd like to hear the album {album_name} from {country} in the {music_genre} genre
en,ocp:play,can you play the album {album_name} from {country} in the {music_genre} genre?
en,ocp:play,play the album {album_name} from {country} in the {music_genre} genre
en,ocp:play,queue the album {album_name} from {country} in the {music_genre} genre
en,ocp:play,play a {music_genre} playlist with {artist_name}
en,ocp:play,turn on {music_genre} music by {artist_name}
en,ocp:play,kick off some {music_genre} with {artist_name}
en,ocp:play,play {music_genre} from {artist_name}
en,ocp:play,start some {artist_name} in the {music_genre} vibe
en,ocp:play,let's listen to some {artist_name} {music_genre} bangers
en,ocp:play,play {music_genre} by {artist_name}
en,ocp:play,play some {music_genre} from {artist_name}
en,ocp:play,make a playlist for {music_genre} from {artist_name}
en,ocp:play,i want to hear {music_genre} from {artist_name}
en,ocp:play,i’m in the mood for {music_genre} from {artist_name}
en,ocp:play,queue up some {music_genre} by {artist_name}
en,ocp:play,play something {music_genre} from {artist_name}
en,ocp:play,give me some {music_genre} by {artist_name}
en,ocp:play,give me a few {music_genre} tracks from {artist_name}
en,ocp:play,load some {music_genre} tunes from {artist_name}
en,ocp:play,drop a {music_genre} beat from {artist_name}
en,ocp:play,play some {music_genre} by {artist_name}
en,ocp:play,can you queue up {artist_name}'s best {music_genre}
en,ocp:play,bring up {music_genre} hits by {artist_name}
en,ocp:play,i’m feeling like some {music_genre} by {artist_name} today
en,ocp:play,i’d like some {music_genre} music by {artist_name}
en,ocp:play,put on some {music_genre} by {artist_name}
en,ocp:play,spin some {music_genre} by {artist_name}
en,ocp:play,let’s hear some {music_genre} from {artist_name}
en,ocp:play,play a mix of {music_genre} by {artist_name}
en,ocp:play,could you play {artist_name}'s {music_genre} songs
en,ocp:play,play a few {music_genre} tracks by {artist_name}
en,ocp:play,play {music_genre} by {artist_name} playlist
en,ocp:play,can you play some {music_genre} from {artist_name}
en,ocp:play,let’s jam to some {music_genre} by {artist_name}
en,ocp:play,how about some {music_genre} by {artist_name}
en,ocp:play,queue {artist_name} from {country} in the {music_genre} genre
en,ocp:play,i'd like to hear {artist_name} from {country} in the {music_genre} genre
en,ocp:play,play {artist_name} from {country} in the {music_genre} genre
en,ocp:play,put on {artist_name} from {country} in the {music_genre} genre
en,ocp:play,can you play {artist_name} from {country} in the {music_genre} genre?
en,ocp:play,queue {track_name} by {artist_name} from the {music_genre} genre
en,ocp:play,play {track_name} by {artist_name} in the {music_genre} genre
en,ocp:play,i'd like to hear {track_name} by {artist_name} from the {music_genre} genre
en,ocp:play,put on {track_name} by {artist_name} in the {music_genre} genre
en,ocp:play,can you play {track_name} by {artist_name} in the {music_genre} genre?
en,ocp:play,put on {track_name} by {artist_name} from {album_name} in the {music_genre} genre
en,ocp:play,play {track_name} by {artist_name} from the album {album_name} in the {music_genre} genre
en,ocp:play,can you play {track_name} by {artist_name} from {album_name} in the {music_genre} genre?
en,ocp:play,queue {track_name} by {artist_name} from {album_name} in the {music_genre} genre
en,ocp:play,i'd like to hear {track_name} by {artist_name} from the album {album_name} in the {music_genre} genre
en,ocp:play,queue {track_name} by {artist_name} from {country} in the {music_genre} genre
en,ocp:play,can you play {track_name} by {artist_name} from {country} in the {music_genre} genre?
en,ocp:play,play {track_name} by {artist_name} from {country} in the {music_genre} genre
en,ocp:play,put on {track_name} by {artist_name} from {country} in the {music_genre} genre
en,ocp:play,i'd like to hear {track_name} by {artist_name} from {country} in the {music_genre} genre
en,ocp:play,queue {music_genre} from {country} right now
en,ocp:play,play {music_genre} from {country} artists
en,ocp:play,let's hear {music_genre} music from {country}
en,ocp:play,i'd love to hear some {music_genre} from {country}
en,ocp:play,can you play {music_genre} by {country}'s best artists
en,ocp:play,start listening to {music_genre} from {country}
en,ocp:play,bring up a playlist of {music_genre} from {country}
en,ocp:play,put on some {country} {music_genre}
en,ocp:play,get me in the mood with {music_genre} out of {country}
en,ocp:play,how about playing {music_genre} from {country}?
en,ocp:play,i'd like to explore {country}'s {music_genre} scene
en,ocp:play,play {music_genre} by {country}'s top artists
en,ocp:play,listen to {music_genre} artists from {country}
en,ocp:play,can you play {music_genre} by artists from {country}
en,ocp:play,make a playlist for {music_genre} from {country}
en,ocp:play,play {music_genre} from {country} right away
en,ocp:play,give me {music_genre} from {country}
en,ocp:play,queue {music_genre} from {country} for me
en,ocp:play,i’m feeling like {country} {music_genre} today
en,ocp:play,start some {music_genre} tracks from {country}
en,ocp:play,can you queue some {music_genre} by artists in {country}?
en,ocp:play,start a session of {music_genre} coming out of {country}
en,ocp:play,spin some {country} {music_genre} for me
en,ocp:play,give me {music_genre} music from {country}
en,ocp:play,explore {music_genre} from {country} with me
en,ocp:play,i want to hear {music_genre} from {country}
en,ocp:play,fire up {music_genre} from {country} musicians
en,ocp:play,queue up {music_genre} from {country}
en,ocp:play,play {music_genre} from {country}
en,ocp:play,bring up {music_genre} from {location} for me
en,ocp:play,give me some {location} {music_genre}
en,ocp:play,can you play {music_genre} from {location} musicians?
en,ocp:play,play local {music_genre} from {location}
en,ocp:play,i want to hear {music_genre} from {location}
en,ocp:play,put on {music_genre} from {location}
en,ocp:play,play {music_genre} from {location}
en,ocp:play,play {music_genre} by bands from {location}
en,ocp:play,can you play {music_genre} from {location}'s top musicians?
en,ocp:play,give me {music_genre} from {location} artists
en,ocp:play,listen to music from {location} in the genre {music_genre}
en,ocp:play,how about some {music_genre} from {location}?
en,ocp:play,queue up {music_genre} from {location}
en,ocp:play,queue up {music_genre} tracks from {location}
en,ocp:play,play {music_genre} from local artists in {location}
en,ocp:play,play some {music_genre} from {location}
en,ocp:play,play {music_genre} from {location} now
en,ocp:play,get me in the mood with {music_genre} from {location}
en,ocp:play,let's hear {music_genre} bands from {location}
en,ocp:play,can you find {music_genre} from {location}
en,ocp:play,i’m in the mood for {music_genre} from {location}
en,ocp:play,let's explore {music_genre} from {location}
en,ocp:play,play {music_genre} that talks about {theme}
en,ocp:play,put on {music_genre} songs about {theme}
en,ocp:play,queue up {music_genre} related to {theme} for me
en,ocp:play,play {music_genre} tracks that talk about {theme}
en,ocp:play,play {music_genre} with {theme} themes
en,ocp:play,play {music_genre} about {theme} right now
en,ocp:play,i want to hear {music_genre} songs that are about {theme}
en,ocp:play,play {music_genre} with lyrics about {theme}
en,ocp:play,i want to hear {music_genre} about {theme}
en,ocp:play,play me {music_genre} with {theme} lyrics
en,ocp:play,play {music_genre} songs about {theme}
en,ocp:play,give me {music_genre} songs themed around {theme}
en,ocp:play,can you play music about {theme} in the style of {music_genre}
en,ocp:play,can you find {music_genre} about {theme}
en,ocp:play,queue up some {music_genre} with {theme} in the lyrics
en,ocp:play,start some {music_genre} that talks about {theme}
en,ocp:play,let's hear {music_genre} about {theme}
en,ocp:play,give me some {music_genre} themed around {theme}
en,ocp:play,start playing {music_genre} themed around {theme}
en,ocp:play,queue up {music_genre} related to {theme}
en,ocp:play,make a {music_genre} playlist about {theme}
en,ocp:play,how about some {music_genre} with {theme} in the lyrics
en,ocp:play,i'd like to hear {theme} album {album_name} in the {music_genre} genre
en,ocp:play,put on {theme} album {album_name} in the {music_genre} genre
en,ocp:play,play {theme} album {album_name} in the {music_genre} genre
en,ocp:play,queue {theme} album {album_name} in the {music_genre} genre
en,ocp:play,can you play {theme} album {album_name} in the {music_genre} genre?
en,ocp:play,queue {theme} music by {artist_name} in the {music_genre} genre
en,ocp:play,can you play {theme} music by {artist_name} in the {music_genre} genre?
en,ocp:play,play {theme} music by {artist_name} in the {music_genre} genre
en,ocp:play,i'd like to hear {theme} music by {artist_name} in the {music_genre} genre
en,ocp:play,put on {theme} music by {artist_name} in the {music_genre} genre
en,ocp:play,play {theme} music from {country} in the {music_genre} genre
en,ocp:play,put on {theme} music from {country} in the {music_genre} genre
en,ocp:play,queue {theme} music from {country} in the {music_genre} genre
en,ocp:play,can you play {theme} music from {country} in the {music_genre} genre?
en,ocp:play,i'd like to hear {theme} music from {country} in the {music_genre} genre
en,ocp:play,i want to hear {track_name} from the {music_genre} genre
en,ocp:play,can you play {track_name} in the {music_genre} genre?
en,ocp:play,put on {track_name} from the {music_genre} genre
en,ocp:play,play the {track_name} from the {music_genre} genre
en,ocp:play,queue {track_name} from the {music_genre} genre
en,ocp:play,play {playlist_name}
en,ocp:play,play me tracks that are about {theme}
en,ocp:play,give me music about {theme}
en,ocp:play,listen to songs about {theme} coming
en,ocp:play,start playing music with {theme} lyrics
en,ocp:play,put on {theme}-related music
en,ocp:play,give me some {theme}-themed music
en,ocp:play,can you play music with {theme} themes
en,ocp:play,queue up music about {theme}
en,ocp:play,make a music playlist about {theme}
en,ocp:play,give me some {theme} themed tracks
en,ocp:play,how about some songs about {theme}
en,ocp:play,play tracks themed around {theme}
en,ocp:play,can you play songs about {theme}
en,ocp:play,i want to hear {theme}-based songs
en,ocp:play,play music with lyrics about {theme}
en,ocp:play,let's hear songs that talk about {theme}
en,ocp:play,play songs with {theme} as the theme
en,ocp:play,i want to hear songs about {theme}
en,ocp:play,play {theme}-themed tracks
en,ocp:play,queue up {theme}-themed music
en,ocp:play,start {theme}-based lyrics in music
en,ocp:play,play {theme}-based songs right now
en,ocp:play,put on music about {theme}
en,ocp:play,i want to hear songs about {theme} from {country}
en,ocp:play,put on songs about {theme} from {country}
en,ocp:play,can you play {theme}-themed music from {country}
en,ocp:play,let's hear songs about {theme} from {country}
en,ocp:play,how about some {theme} songs from {country}
en,ocp:play,give me some {theme}-themed music from {country}
en,ocp:play,start {theme}-based lyrics in music from {country}
en,ocp:play,i want to hear {theme}-based tracks from {country}
en,ocp:play,start playing {theme}-related music from {country}
en,ocp:play,give me {theme}-themed tracks from {country}
en,ocp:play,put a music playlist from {country} about {theme}
en,ocp:play,play songs from {country} about {theme}
en,ocp:play,queue up music from {country} that talks about {theme}
en,ocp:play,give me music from {country} about {theme}
en,ocp:play,play {theme}-themed music from {country}
en,ocp:play,play {theme}-themed tracks from {country} right now
en,ocp:play,play tracks themed around {theme} from {country}
en,ocp:play,put on {theme}-based songs from {country}
en,ocp:play,play me songs with {theme} lyrics from {country}
en,ocp:play,queue up {theme}-themed music from {country}
en,ocp:play,play music with lyrics about {theme} from {country}
en,ocp:play,can you play {theme} songs from {country}
en,ocp:play,listen to songs about {theme} coming from {country}
en,ocp:play,replay {track_name}
en,ocp:play,play {track_name}
en,ocp:play,add {track_name} to the queue
en,ocp:play,start with {track_name} now
en,ocp:play,fire up the track {track_name}
en,ocp:play,let's hear {track_name}
en,ocp:play,put on the track {track_name}
en,ocp:play,get me the track {track_name}
en,ocp:play,start playing {track_name} right now
en,ocp:play,put on the song {track_name} right now
en,ocp:play,let me hear {track_name}
en,ocp:play,can you play {track_name} for me now
en,ocp:play,start the song {track_name}
en,ocp:play,play me {track_name}
en,ocp:play,put on {track_name} for me
en,ocp:play,play {track_name} now
en,ocp:play,can you put on {track_name} for me
en,ocp:play,can you play {track_name}
en,ocp:play,let's start playing {track_name}
en,ocp:play,queue {track_name} for later
en,ocp:play,put on {track_name} i love that one
en,ocp:play,play {track_name} from the start
en,ocp:play,queue up {track_name}
en,ocp:play,can i listen to {track_name}
en,ocp:play,put {track_name} on
en,ocp:play,play {track_name} again
en,ocp:play,i feel like listening to {track_name}
en,ocp:play,replay {track_name} for me
en,ocp:play,give me {track_name}
en,ocp:play,listen to {track_name}
en,ocp:play,do you have {track_name} available?
en,ocp:play,play {track_name} next
en,ocp:play,let's start with {track_name}
en,ocp:play,play that hit {track_name}
en,ocp:play,i want to hear the song {track_name}
en,ocp:play,i'm in the mood for {track_name}
en,ocp:play,let's listen to {track_name}
en,ocp:play,queue {track_name} for now
en,ocp:play,spin {track_name}
en,ocp:play,i want to hear {track_name} next
en,ocp:play,play that one song {track_name}
en,ocp:play,can you play {track_name} for me?
en,ocp:play,queue up {track_name} please
en,ocp:play,stream {track_name} please
en,ocp:play,start playing {track_name}
en,ocp:play,i'd like to play {track_name}
en,ocp:play,fire up {track_name}
en,ocp:play,queue up {track_name} next
en,ocp:play,can i get {track_name} on
en,ocp:play,how about we listen to {track_name}
en,ocp:play,play the newest release {track_name}
en,ocp:play,i want to hear that {track_name} song
en,ocp:play,do you have the song called {track_name}
en,ocp:play,can you play {track_name} now
en,ocp:play,start playing {track_name} right away
en,ocp:play,get me the song {track_name}
en,ocp:play,let me hear {track_name} next
en,ocp:play,play {track_name} on loop
en,ocp:play,put {track_name} on loop
en,ocp:play,how about {track_name}?
en,ocp:play,can you play the song {track_name} again
en,ocp:play,queue up the track {track_name} for me
en,ocp:play,put on {track_name} now
en,ocp:play,blast {track_name}
en,ocp:play,play {track_name} from the top
en,ocp:play,play that track {track_name} again
en,ocp:play,put {track_name} in the queue
en,ocp:play,play the track titled {track_name}
en,ocp:play,get me that {track_name} song
en,ocp:play,play {track_name} as a repeat
en,ocp:play,start {track_name} over
en,ocp:play,spin {track_name} for me
en,ocp:play,let’s jam to {track_name}
en,ocp:play,i'd like to hear {track_name}
en,ocp:play,put {track_name} on repeat
en,ocp:play,give me {track_name} next
en,ocp:play,i'd love to hear {track_name}
en,ocp:play,play the song called {track_name}
en,ocp:play,queue {track_name}
en,ocp:play,i’m in the mood for {track_name}
en,ocp:play,play the latest song {track_name}
en,ocp:play,start with {track_name}
en,ocp:play,give me that {track_name} track
en,ocp:play,play the tune {track_name}
en,ocp:play,i want to hear {track_name}
en,ocp:play,queue {track_name} to play
en,ocp:play,do you have the song {track_name}
en,ocp:play,fire up {track_name} right away
en,ocp:play,i'd like to hear the track {track_name}
en,ocp:play,play the song {track_name}
en,ocp:play,play {track_name} for me please
en,ocp:play,get {track_name} on
en,ocp:play,hit me with {track_name}
en,ocp:play,can you play {track_name} on the album {album_name}
en,ocp:play,give me {track_name} from the album titled {album_name}
en,ocp:play,start with {track_name} off {album_name}
en,ocp:play,fire up {track_name} from {album_name}
en,ocp:play,can you play the track {track_name} from {album_name}?
en,ocp:play,start playing {track_name} from {album_name} for me
en,ocp:play,put on {track_name} from {album_name} now
en,ocp:play,i'd like to hear {track_name} from {album_name}
en,ocp:play,queue up {track_name} from {album_name} later
